taxa,03A,04A,05A,06A,07A,08A,09A,10A,11A,12A,13A,14A
D_0__Bacteria;D_1__Patescibacteria;D_2__Parcubacteria,9246,845,9239,2466,3393,95,1604,934,198,2937,322,2600
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,12647,13095,25061,3713,7667,11425,2139,12135,4887,24897,3675,6377
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,2518,19050,4758,1072,1754,3042,416,19623,6496,20239,3407,4144
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,13694,1578,41198,4090,10452,5931,4392,1139,592,5980,2081,7384
D_0__Bacteria;D_1__Patescibacteria;D_2__ABY1,8189,482,11079,2597,506,0,1428,873,62,4917,231,1325
D_0__Bacteria;D_1__Patescibacteria;D_2__Gracilibacteria,4150,148,3247,280,1032,59,355,288,43,1344,86,117
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__uncultured bacterium,6615,1182,17803,2514,5674,3120,2015,827,217,2725,1086,3314
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,2689,479,3524,959,1376,1124,770,472,393,3981,574,943
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia,6613,793,7885,3277,2783,596,1759,942,146,2774,197,1828
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__Omnitrophia,2200,454,6241,756,1956,1584,848,271,70,1195,262,1091
D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia,1697,505,6630,560,1736,129,557,103,103,1150,396,2220
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria,402,56,1293,165,515,305,170,20,6,98,77,74
D_0__Bacteria;D_1__Patescibacteria;D_2__Microgenomatia,2747,219,2385,1139,599,15,454,466,46,1236,92,2046
D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,1284,364,5480,487,1623,504,530,260,97,727,440,1439
D_0__Bacteria;D_1__Nitrospirae;D_2__Thermodesulfovibrionia,2759,86,1949,632,0,19,125,178,9,4120,0,1467
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria,1320,110,3437,865,1825,336,389,234,140,662,310,948
Unassigned;__;__,1499,185,2606,463,1026,111,482,163,14,289,49,173
D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,137,11,587,55,210,165,89,35,19,159,31,128
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,716,172,3482,325,865,176,210,104,43,566,602,757
D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,1171,171,3138,258,458,473,405,94,140,509,163,683
D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae,478,16,594,144,160,888,92,0,0,0,55,182
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,532,37,219,85,60,390,52,20,0,627,343,116
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,448,40,1261,279,312,1346,116,49,62,876,178,593
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia,1468,99,1857,322,381,235,186,35,68,584,145,367
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,1115,85,103,348,316,1616,466,134,54,283,420,6
D_0__Bacteria;__;__,458,10,733,164,367,119,168,88,6,638,36,273
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,370,103,1129,72,351,274,102,106,24,107,525,328
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,331,39,960,105,164,229,117,0,46,473,19,391
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria,451,24,666,388,759,0,129,28,57,533,333,423
D_0__Bacteria;D_1__Patescibacteria;D_2__Berkelbacteria,662,6,680,229,24,0,83,55,0,359,0,328
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,574,168,705,555,195,24,98,80,47,396,112,552
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured bacterium,865,37,978,158,164,0,149,38,9,74,8,453
D_0__Bacteria;D_1__Planctomycetes;D_2__Pla4 lineage,264,30,598,50,131,80,75,27,7,17,23,192
D_0__Bacteria;D_1__Omnitrophicaeota;__,172,85,598,92,92,201,67,15,0,6,0,202
D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae,28,0,252,45,44,113,16,3,34,253,0,23
D_0__Bacteria;D_1__Elusimicrobia;__,356,30,752,64,272,0,97,52,0,0,0,86
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,347,41,717,13,209,0,58,8,0,28,92,177
D_0__Bacteria;D_1__Nitrospirae;__,868,0,175,0,78,0,8,0,0,283,0,56
D_0__Bacteria;D_1__Latescibacteria;__,271,0,101,26,0,0,55,57,0,645,0,840
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,484,11,46,13,75,334,26,60,0,347,35,73
D_0__Bacteria;D_1__WOR-1;D_2__uncultured bacterium,111,6,470,54,62,0,55,64,0,59,0,169
D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66,244,43,574,11,49,0,59,8,16,115,8,139
D_0__Bacteria;D_1__Planctomycetes;D_2__vadinHA49,57,21,44,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia,3,0,94,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Dadabacteria;D_2__Dadabacteriia,58,9,134,0,206,97,16,0,0,0,30,132
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,165,57,378,123,143,0,33,96,62,43,105,14
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,42,0,141,15,17,37,11,0,22,211,13,141
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia,312,0,214,143,12,59,19,26,0,89,0,33
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,242,0,342,0,22,21,84,0,0,64,0,31
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 21,55,28,461,91,157,0,18,17,0,69,41,108
D_0__Bacteria;D_1__Nitrospirae;D_2__4-29-1,296,11,260,74,7,0,28,0,0,198,39,70
D_0__Bacteria;D_1__WOR-1;__,227,0,278,0,0,0,24,6,0,383,0,70
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,140,0,134,0,11,52,17,0,7,10,29,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Brocadiae,153,0,167,41,0,114,26,0,0,20,0,53
D_0__Bacteria;D_1__Calditrichaeota;D_2__Calditrichia,116,0,9,0,0,0,0,0,132,0,0,0
D_0__Bacteria;D_1__Chlamydiae;D_2__LD1-PA32,75,0,383,79,28,64,45,0,0,14,27,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIc,101,0,302,64,17,0,60,0,17,80,0,154
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,121,8,188,0,30,74,5,23,0,13,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,0,0,61,0,8,254,0,11,0,0,0,0
D_0__Bacteria;D_1__WPS-2;__,0,0,221,0,6,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__BD7-11,0,0,27,0,10,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,73,3,300,0,21,0,11,0,0,140,0,14
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Nanohaloarchaeia,83,16,168,71,105,0,58,0,0,0,13,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),12,5,149,0,70,0,0,0,50,210,0,20
D_0__Bacteria;D_1__Planctomycetes;__,50,5,162,9,46,66,0,0,8,0,14,66
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,0,0,8,0,0,715,0,0,0,0,0,0
D_0__Bacteria;D_1__Zixibacteria;D_2__uncultured bacterium,151,0,203,48,9,58,7,0,0,0,7,12
D_0__Bacteria;D_1__Planctomycetes;D_2__Pla3 lineage,144,28,109,48,71,0,6,0,0,0,0,69
D_0__Bacteria;D_1__Firmicutes;__,110,16,39,0,0,0,16,0,0,164,0,102
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,0,8,290,0,0,0,22,0,8,0,0,259
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,0,0,12,10,15,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;__,95,22,139,64,74,50,19,0,0,0,0,0
D_0__Bacteria;D_1__Spirochaetes;D_2__Leptospirae,23,0,194,0,0,0,7,0,0,0,0,0
D_0__Bacteria;D_1__Entotheonellaeota;D_2__Entotheonellia,25,8,159,30,13,0,8,0,0,0,42,37
D_0__Bacteria;D_1__Actinobacteria;__,63,0,50,0,66,0,0,0,9,0,0,150
D_0__Archaea;D_1__Thaumarchaeota;__,67,21,132,13,19,34,9,0,0,0,0,17
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia,25,0,93,14,0,0,8,6,0,40,0,98
D_0__Bacteria;D_1__Bacteroidetes;D_2__OC31,0,0,129,42,0,101,67,0,0,107,0,0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Group 1.1c,27,0,122,33,70,31,0,4,0,36,0,42
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,82,0,118,0,39,57,10,0,0,13,26,41
D_0__Bacteria;D_1__GAL15;D_2__uncultured bacterium,24,0,171,0,74,0,9,0,0,12,0,57
D_0__Bacteria;D_1__Elusimicrobia;D_2__Endomicrobia,0,0,96,0,38,0,14,17,8,41,0,37
D_0__Bacteria;D_1__Patescibacteria;D_2__WWE3,60,0,26,54,3,0,8,37,5,27,0,60
D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia,43,15,23,17,17,0,0,28,0,0,0,0
D_0__Bacteria;D_1__Hydrogenedentes;D_2__Hydrogenedentia,29,16,16,0,46,0,0,0,0,13,0,0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria,0,0,54,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__AncK6;D_2__uncultured bacterium,71,0,26,56,40,0,0,0,6,7,37,0
D_0__Bacteria;D_1__Margulisbacteria;__,0,0,95,13,23,0,6,0,0,0,0,0
D_0__Bacteria;D_1__Spirochaetes;D_2__MVP-15,0,0,14,0,0,0,0,0,0,55,0,94
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIa,39,12,76,5,23,0,17,0,7,24,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15,123,0,43,0,0,0,0,0,8,0,30,0
D_0__Bacteria;D_1__Chloroflexi;D_2__P2-11E,16,6,90,0,0,0,0,21,0,19,0,0
D_0__Bacteria;D_1__Schekmanbacteria;__,0,0,179,0,0,0,15,8,0,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Chthonomonadetes,100,0,15,0,0,0,17,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes,0,0,0,0,0,49,7,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermococci,0,0,56,0,14,0,25,0,0,0,0,0
