taxa,03B,04B,05B,06B,07B,08B,09B,10B,11B,12B,13B,14B
D_0__Bacteria;D_1__Patescibacteria;D_2__Parcubacteria,108260,12146,89561,10781,24064,73881,14517,4488,22559,50151,27514,834
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,17151,2206,9811,987,7299,16755,4660,9523,9745,19153,9300,202822
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,24721,3777,7025,771,6881,18980,5878,16885,14321,38510,13491,1353
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,14208,780,6272,828,3351,5028,3415,860,1610,5518,2501,724
D_0__Bacteria;D_1__Patescibacteria;D_2__ABY1,30265,1275,10168,1284,2179,8498,2636,799,3105,9415,2557,555
D_0__Bacteria;D_1__Patescibacteria;D_2__Gracilibacteria,17202,773,3675,396,1266,4087,1104,495,1841,5176,2076,236
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__uncultured bacterium,2748,176,1489,234,566,2212,1023,256,588,1487,789,655
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,10149,516,4720,1922,2680,2721,842,212,1560,3625,1164,858
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia,3438,84,1198,250,438,1818,637,119,393,1828,211,722
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__Omnitrophia,1419,15,501,144,270,694,447,59,142,623,218,89
D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia,565,30,312,26,227,414,127,18,175,346,64,57
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria,2121,143,1079,0,361,599,244,51,425,323,221,22
D_0__Bacteria;D_1__Patescibacteria;D_2__Microgenomatia,1044,69,112,67,178,187,181,135,34,1133,179,164
D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,322,52,607,39,288,534,151,6,47,415,282,87
D_0__Bacteria;D_1__Nitrospirae;D_2__Thermodesulfovibrionia,899,16,135,75,17,37,65,131,0,1964,0,233
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria,600,66,240,90,274,663,210,160,492,383,144,227
Unassigned;__;__,345,45,246,53,210,355,68,55,94,398,396,195
D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,325,13,34,13,510,2276,477,252,745,1119,815,47
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,208,41,192,19,147,133,6,39,67,152,139,81
D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,325,28,178,41,94,237,46,11,83,342,69,35
D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae,564,27,264,57,289,577,170,49,86,462,201,20
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,1123,29,128,22,114,428,49,55,151,318,107,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,166,0,51,12,110,79,49,0,23,234,62,56
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia,356,18,228,0,133,119,62,19,68,267,85,29
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,222,13,20,23,244,127,4,141,0,177,51,6
D_0__Bacteria;__;__,220,23,332,16,313,311,66,20,74,443,35,17
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,951,35,133,9,74,299,85,42,51,120,175,20
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,346,0,249,11,0,57,14,4,88,117,50,81
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria,181,49,95,43,37,35,9,20,66,205,280,27
D_0__Bacteria;D_1__Patescibacteria;D_2__Berkelbacteria,390,21,77,19,38,16,27,49,6,394,103,47
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,92,28,73,23,76,42,18,0,34,105,21,40
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured bacterium,220,0,94,31,26,12,25,0,0,107,0,11
D_0__Bacteria;D_1__Planctomycetes;D_2__Pla4 lineage,57,0,41,0,17,22,17,0,2,18,0,14
D_0__Bacteria;D_1__Omnitrophicaeota;__,113,27,87,7,0,86,19,0,59,28,0,14
D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae,124,0,64,0,36,181,15,0,26,275,40,206
D_0__Bacteria;D_1__Elusimicrobia;__,50,0,41,0,88,19,7,0,0,75,84,16
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,73,11,44,7,58,5,37,0,56,27,0,17
D_0__Bacteria;D_1__Nitrospirae;__,293,0,0,7,0,0,0,0,0,231,0,0
