taxa,03C,04C,05C,06C,07C,08C,09C,10C,11C,12C,13C,14C
D_0__Bacteria;D_1__Patescibacteria;D_2__Parcubacteria,31644,1416,363803,89596,49126,12696,5937,4328,1116,11831,4573,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,3717,1996,95453,3744,59694,3678,1009,4671,832,13857,7946,36562
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,4722,3749,68695,5701,9205,4690,1020,9424,1659,32263,25063,15271
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,4214,89,48402,2436,7248,752,516,885,151,2869,3385,867
D_0__Bacteria;D_1__Patescibacteria;D_2__ABY1,2023,20,53263,3123,9984,784,320,295,140,828,570,0
D_0__Bacteria;D_1__Patescibacteria;D_2__Gracilibacteria,1312,13,26075,792,5606,502,76,53,113,418,323,283
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__uncultured bacterium,790,27,10303,1097,1334,355,239,378,17,809,460,329
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,2197,72,9745,884,3290,465,196,230,39,1504,1021,4064
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia,417,0,10889,650,2945,232,201,160,0,665,91,120
D_0__Bacteria;D_1__Omnitrophicaeota;D_2__Omnitrophia,243,5,3952,246,493,80,68,152,0,559,416,79
D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia,77,0,2874,130,265,30,13,4,0,69,142,97
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria,907,52,7868,377,289,312,9,56,0,1012,272,276
D_0__Bacteria;D_1__Patescibacteria;D_2__Microgenomatia,0,0,3477,220,528,5,0,45,3,394,457,60
D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,64,0,2842,236,262,90,0,0,0,210,216,66
D_0__Bacteria;D_1__Nitrospirae;D_2__Thermodesulfovibrionia,22,0,1467,33,38,0,27,37,0,105,800,150
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria,48,0,1274,78,349,64,62,58,14,16,169,33
Unassigned;__;__,26,0,2562,24,387,0,0,24,0,305,9,129
D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,0,0,1092,157,1064,129,24,91,59,173,286,985
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,9,0,1485,138,223,64,6,19,0,133,0,75
D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,64,0,1329,208,175,70,22,37,0,41,245,42
D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae,260,14,3144,132,663,123,44,34,18,542,794,198
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,416,10,1630,190,122,90,33,13,15,587,275,1965
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,89,0,1008,53,139,34,26,39,8,1519,59,302
D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia,137,0,1118,144,98,51,15,17,9,76,0,57
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,353,13,483,127,89,654,67,33,13,299,262,398
D_0__Bacteria;__;__,68,0,1846,48,265,4,13,56,7,97,15,147
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,34,0,994,78,120,34,28,9,0,88,194,46
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,51,0,1648,206,281,62,9,16,0,0,36,122
D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria,0,0,474,21,248,0,0,15,0,108,147,44
D_0__Bacteria;D_1__Patescibacteria;D_2__Berkelbacteria,0,0,1146,9,149,0,0,0,0,0,84,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,19,0,159,39,46,17,10,22,0,0,0,0
D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured bacterium,0,0,793,0,96,0,7,5,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Pla4 lineage,0,5,795,62,255,0,0,4,0,17,57,0
D_0__Bacteria;D_1__Omnitrophicaeota;__,44,0,649,18,43,0,19,0,0,0,0,0
D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae,0,0,350,40,57,0,0,34,0,233,76,0
D_0__Bacteria;D_1__Elusimicrobia;__,31,0,351,68,5,17,0,7,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,0,0,376,13,18,0,0,4,0,36,0,0
D_0__Bacteria;D_1__Nitrospirae;__,0,0,0,0,359,0,0,0,0,0,40,0
D_0__Bacteria;D_1__Latescibacteria;__,0,0,59,0,19,0,6,0,0,0,0,17
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,3,0,90,12,37,0,2,11,0,48,136,138
D_0__Bacteria;D_1__WOR-1;D_2__uncultured bacterium,0,0,684,23,4,0,0,5,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66,0,0,267,14,0,0,0,0,0,0,27,0
D_0__Bacteria;D_1__Planctomycetes;D_2__vadinHA49,294,0,279,82,50,71,4,16,0,95,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia,0,0,136,0,39,0,0,0,0,0,0,259
D_0__Bacteria;D_1__Dadabacteria;D_2__Dadabacteriia,7,0,195,0,46,0,11,21,0,316,106,54
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,0,0,317,3,30,38,0,9,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,9,0,258,12,24,0,0,6,0,15,20,519
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia,0,0,337,25,5,0,4,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,0,0,153,0,224,0,0,0,0,0,20,171
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 21,16,0,112,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Nitrospirae;D_2__4-29-1,0,0,0,7,94,0,0,0,0,0,50,0
D_0__Bacteria;D_1__WOR-1;__,0,0,69,0,7,0,0,0,0,0,46,0
D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,7,0,492,41,21,0,18,0,0,35,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Brocadiae,14,0,229,82,24,22,0,13,0,83,0,0
D_0__Bacteria;D_1__Calditrichaeota;D_2__Calditrichia,0,0,556,0,44,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chlamydiae;D_2__LD1-PA32,0,0,249,0,0,0,0,0,0,12,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIc,0,0,202,45,4,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,10,0,216,10,0,0,0,12,0,0,37,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,13,0,146,0,51,0,0,13,32,0,98,0
D_0__Bacteria;D_1__WPS-2;__,33,0,99,0,91,0,0,8,0,193,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__BD7-11,108,0,399,0,66,0,16,0,0,6,56,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,0,0,206,0,22,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Nanohaloarchaeia,0,0,214,0,24,13,0,3,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),4,0,67,0,14,0,13,0,0,40,94,0
D_0__Bacteria;D_1__Planctomycetes;__,0,0,260,0,0,0,0,3,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,21,0,0,0,7,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Zixibacteria;D_2__uncultured bacterium,0,0,58,0,30,0,0,0,0,0,55,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Pla3 lineage,0,0,136,0,15,11,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;__,0,0,57,0,7,0,0,6,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,0,0,0,0,16,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,10,0,56,0,9,0,0,0,7,313,22,0
D_0__Bacteria;D_1__Acidobacteria;__,0,0,44,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Spirochaetes;D_2__Leptospirae,12,0,29,0,12,0,9,0,0,0,0,0
D_0__Bacteria;D_1__Entotheonellaeota;D_2__Entotheonellia,0,0,84,0,4,16,0,0,0,0,14,0
D_0__Bacteria;D_1__Actinobacteria;__,0,0,89,0,16,0,0,0,0,0,0,0
D_0__Archaea;D_1__Thaumarchaeota;__,0,0,47,0,3,0,0,0,0,29,0,0
