ASV,01A-CR,01B-CR,01C-CR,02A-CR,02B-CR,02C-CR,03A,03B,03C,04A,04B,04C,05A,05B,05C,06A,06B,06C,07A,07B,07C,08A,08B,08C,09A,09B,09C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C
20c081e614bd14b61103f8f2181e0281,0,11521,2443,0,9099,1828,60,48363,17320,0,6561,977,0,54113,192138,0,6847,60888,120,13164,16264,35,32495,5679,10,5788,3129,0,1763,1752,28,3277,305,13,12525,4233,0,7450,2069,0,0,0
6609dc8c0d23935a7f361ebb2ac04756,0,5306,1137,0,5412,471,14,43076,7559,0,4384,153,0,22793,93422,0,2826,10616,32,7342,12919,10,21055,1706,0,4544,808,0,996,887,8,6087,275,0,11431,2567,5,6075,1201,0,18,0
97e0349ae78b845b696c1f0b0675089b,0,3413,870,0,4416,1489,0,15870,2713,0,825,116,0,2957,43138,0,239,3208,0,2582,4383,0,6245,1537,0,1923,258,0,974,830,0,4143,398,34,16147,10266,0,4665,11130,0,45,177
c88716762638b936e019ef90483d9ab4,0,1147,0,0,3170,0,0,1663,52,0,102,0,0,2564,30724,0,50,42,0,214,34297,0,2654,0,0,521,0,0,69,0,0,279,7,19,331,0,27,225,137,17,61983,1183
4785099617e43380e570b85986573b60,0,0,0,0,0,0,50,0,0,14175,1715,2733,0,0,22,13,0,27,0,0,0,89,32,129,0,0,0,14997,11147,5118,4710,4492,567,11183,876,3619,1745,960,1805,2108,258,1687
fce4d327b5f4dc66cacbc72f6fe3047a,0,261,158,0,360,234,0,5011,5033,0,328,238,0,3945,27095,0,266,10531,0,428,8980,0,4965,2732,0,458,896,0,148,498,0,3691,102,0,1086,671,0,445,0,0,0,0
5a85bc47390f6ad97a7a5d216fca6da1,148,450,0,381,417,298,4483,2354,683,708,237,38,15137,1615,10137,1769,378,968,5026,665,1129,3091,1365,318,2066,1178,125,501,299,378,266,427,36,1345,1484,341,891,672,1097,3133,288,249
9077753ed49a9197f123a0f5b2723963,93,0,0,589,123,0,460,51,0,97,0,0,1504,0,0,351,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,102,95,0,0,34746,11549
22b99fcfa21f95d39bc7b7e5baf0245b,45207,0,0,3624,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b270e5fd3fc9fe2b332270e22c326e4b,103,398,130,574,45,472,319,231,266,5976,796,1014,148,49,366,321,68,382,106,187,74,1053,185,649,73,24,89,6117,4399,2217,1909,1985,247,5813,609,2210,881,739,1541,1611,57,627
edc4aad08c71fcc99bdf713de06af54e,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,13,28479,7316
7990534e8ca17e797137e38e17dbba9c,0,0,0,0,0,0,0,236,25,0,136,8,0,659,3135,0,148,173,0,659,1773,0,3875,249,0,955,140,0,345,102,0,4595,163,0,7970,460,0,6789,453,0,0,0
e3d9fef76130c1b8cb7038b3272a0974,0,3889,0,0,2610,0,0,254,0,0,12,0,0,702,2754,0,116,199,0,1199,1442,0,2724,387,0,1526,267,0,382,147,0,695,39,7,8857,724,0,3622,210,0,0,0
f462c1a006f614f1902d832179bb345c,30,1823,189,0,1961,2362,0,497,96,0,74,17,25,617,3034,0,35,241,0,992,703,0,1832,538,0,1095,196,0,330,415,18,1219,161,5,3383,7905,0,1316,1203,0,20,0
3c4709f75a8043a35cb12ace8655367c,0,361,90,0,157,151,0,0,0,0,0,0,0,91,643,0,0,271,0,795,842,0,2202,787,0,945,235,0,325,922,0,88,0,0,10166,2625,0,3065,5560,0,0,0
72d43870fd2fe13c1cf69db2c8b51323,0,0,0,145,20,0,82,18,35,4982,565,787,0,0,55,0,0,0,47,77,0,0,72,61,0,0,0,4527,3478,1646,1526,1453,146,4244,286,1596,712,306,1011,594,53,486
d43a97b9e3dfecf6405545377f89c3fe,0,39,0,0,17,0,0,11213,474,0,434,10,0,1892,9435,0,193,208,42,247,1165,0,835,19,0,408,28,0,82,22,0,308,0,0,653,0,0,252,42,0,0,0
b4f0191b3d7dec919354f2934ba57152,0,195,0,0,799,0,0,913,44,0,43,0,16,448,5536,0,42,0,0,101,3775,0,369,0,0,56,0,0,0,0,0,65,0,0,107,0,0,0,60,0,7635,384
469bca01c20851f125197ad2a6da82f1,0,63,30,0,0,0,0,574,220,0,132,16,0,2240,8810,0,84,1522,0,425,1295,0,2434,219,0,423,99,0,112,113,0,319,25,0,984,176,0,230,30,0,0,0
b37114b524e607339aa52574aa8c2428,0,0,0,0,0,0,0,1115,199,0,72,10,0,688,13327,0,58,530,0,195,1270,0,1036,0,0,127,0,0,0,0,0,9,0,0,25,63,0,0,0,0,186,732
1e29f79a9d36b484dcd5bb8f68ce1de3,0,1162,0,0,143,0,0,1147,75,0,112,0,0,1662,9669,0,14,0,0,778,1624,0,1010,0,0,266,0,0,86,0,0,165,30,0,230,0,0,153,53,0,0,0
ca385439463c468fbc71232ac8a27c64,0,0,0,0,0,0,0,1445,305,0,128,0,41,1957,10416,0,100,979,21,110,802,0,336,95,15,50,0,0,0,0,0,69,17,30,144,21,0,0,0,0,0,0
ec25befb066a6aa3c61e275235cfce51,0,415,86,0,265,0,0,1612,537,0,217,0,0,1821,6339,0,207,1946,0,433,494,0,944,176,0,208,0,0,0,0,0,98,0,0,393,158,0,244,0,0,0,0
a35c2cd51d48e0944a4dfb6b0253a4c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,15452,1022
1774904c7fcf8cb39c23c065a3d95532,0,0,0,0,0,0,0,0,0,2490,383,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,2155,992,841,759,0,2144,238,625,348,594,438,314,138,269
d84def6c81f231b38c63266097ce757b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,383,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12881,276
55ff4f1740f7533a62bbb549e5cc6102,0,0,0,0,0,0,0,2888,556,0,173,13,0,2916,3901,0,1265,207,0,888,535,0,634,0,0,119,0,0,0,0,0,53,0,0,28,0,0,0,0,0,0,0
57cc8448005c89e2496ff94edc81ced2,23,42,24,11,101,0,1220,539,48,100,61,0,2747,210,1050,812,87,59,1521,179,299,295,547,64,321,210,53,175,160,42,111,389,14,487,355,16,310,112,145,870,194,33
8c4ab7c374b3066527e5243bbe11e33d,0,55,23,0,148,0,0,723,153,0,72,0,0,677,10161,0,33,86,0,317,614,0,367,27,0,217,59,0,20,21,0,103,34,0,0,0,0,0,85,0,0,0
1c804a151e7c8595a29a82f08ecec2c6,0,15,0,0,0,0,0,2194,254,0,382,0,0,1708,5762,0,182,93,0,450,512,0,1247,64,0,338,0,0,52,20,0,179,14,0,276,0,0,174,0,0,0,0
b4ef87346b9f10907d4420ee11c92cca,0,366,128,0,86,0,0,1878,776,0,66,25,0,502,5166,0,30,502,0,67,332,0,1780,162,0,112,45,0,67,28,0,11,0,0,270,293,0,57,90,0,238,675
14f70ff6113ab233facd084815898549,0,15,23,0,38,0,0,667,227,0,55,11,0,948,3823,0,56,790,0,351,942,0,2078,221,0,216,133,0,66,66,0,653,50,0,1146,272,0,680,21,0,0,0
da56e5d28f20707c94d863720800c11d,0,0,0,0,0,0,0,7576,667,0,81,0,0,282,3285,0,98,223,0,155,602,0,152,76,0,0,0,0,0,0,0,0,0,0,139,0,0,163,0,0,0,0
5439ff6dd7bd3616fc12af4173db620d,0,94,333,0,0,0,0,1703,808,0,112,50,0,873,6594,0,0,260,0,287,162,0,407,288,0,167,0,0,13,29,0,276,0,0,119,499,0,37,227,0,0,0
081f9f4f850e577a0d1aa83e965cc856,0,29,0,0,49,0,0,5690,350,0,121,0,0,1130,4303,0,139,0,0,148,437,0,129,29,0,84,0,0,27,0,0,52,0,0,220,14,0,225,0,0,0,0
c89aaa5eb7cc60dfa485b653d3522096,24,162,0,0,116,0,0,2398,316,0,355,17,0,1075,4454,0,59,145,0,62,330,0,1489,188,0,127,51,0,39,17,0,373,50,0,512,557,0,0,203,0,0,0
be5cad007b571af79d5e565087b7726b,0,0,0,0,0,0,1829,552,0,86,16,0,1446,114,1156,587,75,33,0,17,31,19,0,0,62,65,0,173,131,37,0,0,0,2779,1475,0,0,0,669,1198,220,114
369047688bad079cd979ea55faac9be6,151,691,628,1197,296,508,385,280,371,163,20,21,87,81,375,185,57,216,438,137,46,518,369,612,50,20,80,216,87,37,130,90,25,1317,100,664,550,315,407,225,39,587
6e1fac3629778feb9941b7a4b1f9dd45,0,0,75,0,0,0,0,23,0,0,0,0,115,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,7945,4315
cad53643e26e0fe69cda3f80db2302ea,0,0,0,0,0,0,0,3052,135,0,102,8,0,399,2449,0,0,223,0,370,1593,0,695,68,0,49,17,0,30,18,0,407,37,0,1075,56,0,862,10,0,68,180
935c2d8c55e562a9b945b4b4df7b3ea3,0,0,0,0,61,0,0,1370,80,0,72,0,0,346,3363,0,148,312,0,237,1245,0,791,154,0,357,38,0,149,28,0,552,28,0,1850,197,0,323,156,0,11,0
c2b8e968a8d0d903ebecdffac8bc7727,0,0,0,0,0,0,390,0,0,182,0,0,6686,0,0,677,0,0,3167,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682c0c5b95aeb91a04463cf5380f6eda,75,207,335,308,52,434,1044,186,226,35,14,27,141,0,1008,194,71,124,165,229,113,1288,350,445,107,36,135,40,49,19,37,23,24,616,118,286,112,147,285,330,17,219
6b04efd4751c0d2fc66ee9507a246740,0,0,0,0,7,0,632,386,0,408,35,0,1531,342,1899,801,57,0,904,43,572,0,494,51,459,198,0,171,0,20,69,101,0,0,176,0,35,0,0,136,40,0
74bb3563812183a2cca479b6650df663,0,0,0,0,0,0,0,1786,13,0,56,0,19,121,2669,0,30,0,32,185,1169,0,890,29,0,396,0,0,112,0,0,475,39,0,969,76,0,191,64,0,0,0
90cf5b9f5105c56ed09d8084ed7ff942,11,0,0,27,0,0,0,503,86,0,46,0,0,322,2589,0,76,159,0,131,1429,0,1900,29,0,403,72,0,74,59,0,579,34,0,518,0,0,235,0,0,0,0
22fdd66389041d7f288130d8685700c0,0,0,0,0,18,0,0,0,0,0,0,0,0,47,868,0,25,173,0,387,1207,0,912,461,0,195,70,0,108,108,0,1004,70,0,2541,580,0,250,188,0,0,0
aab1c4a9884d96a51be94e479b3834e7,31,187,0,67,74,0,1126,267,0,158,41,0,2137,180,828,382,56,88,627,99,82,204,117,0,252,70,0,52,15,54,41,44,0,702,181,0,196,99,203,446,36,65
1537ae276dd5df2692f21ed488abc989,0,0,0,0,0,0,0,0,0,0,111,0,0,1756,3798,0,176,195,0,463,724,0,1071,41,0,184,25,0,44,24,0,27,0,0,290,0,0,42,20,0,0,0
