nome,gen,feb,mar,apr,mag,giu,lug,ago,set,ott,nov,dic
a,108260,12146,89561,10781,24064,73881,14517,4488,22559,50151,27514,834
a,17151,2206,9811,987,7299,16755,4660,9523,9745,19153,9300,202822
a,24721,3777,7025,771,6881,18980,5878,16885,14321,38510,13491,1353
a,14208,780,6272,828,3351,5028,3415,860,1610,5518,2501,724
a,30265,1275,10168,1287,2179,8498,2636,799,3105,9415,2557,555
a,17202,773,3675,396,1266,4087,1104,495,1841,5176,2076,236
a,1,2,3,4,5,6,7,8,9,10,11,12
a,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,9000
a,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,90000,40000
a,1,0,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,2,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,4,0,4,5,7,7,8,9,0,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
b,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,2,2,2,2,2,2,2,2,2,2,2,2
a,1,7,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,4
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,11,10,11,12
a,1,2,3,4,5,6,7,8,9,10,0,12
a,1,2,47,4,5,6,7,8,10,10,7,0
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,0,3,4,5,6,7,8,9,10,11,14
a,1,2,3,4,5,1,7,8,9,10,11,12
a,1,2,3,45,0,6,7,8,9,10,11,12
a,1,13,12,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,3,9,10,0,12
a,1,0,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,2,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,4,0,4,5,7,7,8,9,0,11,12
c,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,7,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,1,4,5,6,7,2,9,10,11,12
a,1,15,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,23,9,10,11,12
a,1,2,3,4,5,6,5,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,0,12
a,1,2,47,4,5,6,7,8,10,10,7,0
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,0,3,4,5,6,7,8,9,10,11,14
a,1,2,3,4,5,1,7,8,9,10,11,12
a,1,2,3,45,0,6,7,8,9,10,11,12
a,1,13,12,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,0,10,11,12
a,1,2,3,4,3,6,7,8,3,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,0,7,8,9,10,11,12
a,1,7,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,12
a,1,2,3,4,5,6,7,8,9,10,11,4
