nome,apr,mag,giu,lug,ago,set,ott,nov,dic,gen,feb,mar
a,10781,24064,73881,14517,4488,22559,50151,27514,834,108260,12146,89561
a,987,7299,16755,4660,9523,9745,19153,9300,202822,17151,2206,9811
a,771,6881,18980,5878,16885,14321,38510,13491,1353,24721,3777,7025
a,828,3351,5028,3415,860,1610,5518,2501,724,14208,780,6272
a,1287,2179,8498,2636,799,3105,9415,2557,555,30265,1275,10168
a,396,1266,4087,1104,495,1841,5176,2076,236,17202,773,3675
a,4,5,6,7,8,9,10,11,12,1,2,3
a,20000,20000,20000,20000,20000,20000,20000,20000,9000,20000,20000,20000
a,400000,400000,400000,400000,400000,400000,400000,90000,40000,400000,400000,400000
a,4,5,6,7,8,9,10,11,12,1,0,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,2,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,7,7,8,9,0,11,12,1,4,0
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,7,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,2,9,10,11,12,1,2,1
a,4,5,6,7,8,9,10,11,12,1,15,3
a,4,5,6,7,23,9,10,11,12,1,2,3
a,4,5,6,5,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,0,12,1,2,3
a,4,5,6,7,8,10,10,7,0,1,2,47
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,14,1,0,3
b,4,5,1,7,8,9,10,11,12,1,2,3
a,45,0,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,13,12
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,0,10,11,12,1,2,3
a,4,3,6,7,8,3,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,0,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,7,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,4,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,11,10,11,12,1,2,3
a,4,5,6,7,8,9,10,0,12,1,2,3
a,4,5,6,7,8,10,10,7,0,1,2,47
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,14,1,0,3
a,4,5,1,7,8,9,10,11,12,1,2,3
a,45,0,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,13,12
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,3,9,10,0,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,0,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,2,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,7,7,8,9,0,11,12,1,4,0
c,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,7,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,2,9,10,11,12,1,2,1
a,4,5,6,7,8,9,10,11,12,1,15,3
a,4,5,6,7,23,9,10,11,12,1,2,3
a,4,5,6,5,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,0,12,1,2,3
a,4,5,6,7,8,10,10,7,0,1,2,47
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,14,1,0,3
a,4,5,1,7,8,9,10,11,12,1,2,3
a,45,0,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,13,12
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,0,10,11,12,1,2,3
a,4,3,6,7,8,3,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,0,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,7,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,4,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,11,10,11,12,1,2,3
a,4,5,6,7,8,9,10,0,12,1,2,3
a,4,5,6,7,8,10,10,7,0,1,2,47
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,14,1,0,3
a,4,5,1,7,8,9,10,11,12,1,2,3
,45,0,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,13,12
a,4,5,6,7,8,11,10,11,12,1,2,3
a,4,5,6,7,8,9,10,0,12,1,2,3
a,4,5,6,7,8,10,10,7,0,1,2,47
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,14,1,0,3
a,4,5,1,7,8,9,10,11,12,1,2,3
a,45,0,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,13,12
a,4,5,6,7,8,11,10,11,12,1,2,3
a,4,5,6,7,8,9,10,0,12,1,2,3
a,4,5,6,7,8,10,10,7,0,1,2,47
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,14,1,0,3
a,4,5,1,7,8,9,10,11,12,1,2,3
a,45,0,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,13,12
a,4,5,6,7,8,11,10,11,12,1,2,3
a,4,5,6,7,8,9,10,0,12,1,2,3
a,4,5,6,7,8,10,10,7,0,1,2,47
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,14,1,0,3
a,4,5,1,7,8,9,10,11,12,1,2,3
a,45,0,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,13,12
a,4,5,6,7,8,9,10,11,12,1,2,3
a,4,5,6,7,8,9,10,11,12,1,2,3
